artist_id,artist_name
1440,Rod Stewart
10135,Benny Sings
104010322,Slowtide
11,The Rolling Stones
12120324,Feng Suave
85886992,Aime Simone
51136992,pølaroit
9898396,Tupal
810,Norah Jones
1060,Johnny Hallyday
259131,Paloma Faith
817,The Who
12628105,Lonely in the Rain
13117063,Pip Millett
6068162,Snoh Aalegra
196089997,Moth
5241932,George Ezra
52791882,Prigida
403152,Asaf Avidan
96346832,Tai Verdes
7299,Bedouin Soundclash
120503502,Luca
905,Buffalo Springfield
7965922,Elujay
57780562,Preston Pablo
12643363,KALLITECHNIS
13286961,Arlo Parks
75001,Sexion d'Assaut
331295,DJ Zinhle
4345052,Levon Minassian
4966396,Alice Phoebe Lou
8498624,Jordan Feliz
5438687,Sault
95686,Dj Weedim
7890062,Alessia Cara
10770448,The Motel Brothers
180,ABBA
17026,Cocoon
14432307,Matteo
5284696,Sunni Colon
2245,Thomas Newman
12246,Taylor Swift
123514,Zap Pow
110616822,Ayra Starr
9108984,Kiiara
4694728,Yemi Alade
9729060,2baba
13905711,Tems
119127482,Cartoon
6191,Bobby Hebb
49936662,Banku Music
5825,Michael Sembello
5288900,Niska
379167,Lucenzo
142015162,Rosa Linn
337770,Alle Farben
15622,Claude VonStroke
10862532,RAYBEKAH
262,Janet Jackson
176,Dire Straits
1704487,Blade The Soundtrack featuring New order
2831401,Yellow Claw
73092732,RING RAPPER RATATA
1363197,Tekno
15157,Carimi
4545763,Xamã
416239,Imagine Dragons
54330242,Grupo Menos É Mais
7611526,Felipe Amorim
4455202,Robert Ziegler
